상세URL,상품ID,상세innerURL,썸네일URL,브랜드명,상품명,가격
https://www.lotteon.com/p/product/LO1350014248?sitmNo=LO1350014248_1350014249&mall_no=1&dp_infw_cd=CASec10200001,LO1350014248,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F50%2F01%2F42%2F48%2FDSCRP_LO1350014248,https://contents.lotteon.com/itemimage/LO/13/50/01/42/48/_1/35/00/14/24/9/LO1350014248_1350014249_1.jpg/dims/resizemc/360x360,지오투,올오버 하운드투스 티셔츠_AXTAW19311NYX,"37,050원"
https://www.lotteon.com/p/product/LO1350000546?sitmNo=LO1350000546_1350000547&mall_no=1&dp_infw_cd=CASec10200001,LO1350000546,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F50%2F00%2F05%2F46%2FDSCRP_LO1350000546,https://contents.lotteon.com/itemimage/LO/13/50/00/05/46/_1/35/00/00/54/7/LO1350000546_1350000547_1.jpg/dims/resizemc/360x360,지오투,올오버 하운드투스 티셔츠_AXTAW19311GYD,"37,050원"
https://www.lotteon.com/p/product/LO1263782857?sitmNo=LO1263782857_1263782858&mall_no=1&dp_infw_cd=CASec10200001,LO1263782857,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F12%2F63%2F78%2F28%2F57%2FDSCRP_LO1263782857,https://contents.lotteon.com/itemimage/LO/12/63/78/28/57/_1/26/37/82/85/8/LO1263782857_1263782858_1.jpg/dims/resizemc/360x360,타미진,데님 테이퍼드핏 패치워크 팬츠 T32A7NET003MT2 1A5,"160,200원"
https://www.lotteon.com/p/product/LO1352780444?sitmNo=LO1352780444_1352780445&mall_no=1&dp_infw_cd=CASec10200001,LO1352780444,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F52%2F78%2F04%2F44%2FDSCRP_LO1352780444,https://contents.lotteon.com/itemimage/LO/13/52/78/04/44/_1/35/27/80/44/5/LO1352780444_1352780445_1.jpg/dims/resizemc/360x360,행텐,남성 하이넥 플리스 점퍼_110 (10290-034-813-08-110),"20,810원"
https://www.lotteon.com/p/product/LO1311527818?sitmNo=LO1311527818_1311527819&mall_no=1&dp_infw_cd=CASec10200001,LO1311527818,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F11%2F52%2F78%2F18%2FDSCRP_LO1311527818,https://contents.lotteon.com/itemimage/LO/13/11/52/78/18/_1/31/15/27/81/9/LO1311527818_1311527819_1.jpg/dims/resizemc/360x360,티엔지티,[TNGT] Signal 화이트 세미오버핏 하트 스티치 라운드 니트 TGSW0D801IV,"56,880원"
https://www.lotteon.com/p/product/LO1327564528?sitmNo=LO1327564528_1327564529&mall_no=1&dp_infw_cd=CASec10200001,LO1327564528,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F27%2F56%2F45%2F28%2FDSCRP_LO1327564528,https://contents.lotteon.com/itemimage/LO/13/27/56/45/28/_1/32/75/64/52/9/LO1327564528_1327564529_1.jpg/dims/resizemc/360x360,일꼬르소,[ILCORSO] [한정판]LOROPIANA 원단 블루 오버핏 체크 셔켓 IESH0F701B2,"128,440원"
https://www.lotteon.com/p/product/LE1203501138?sitmNo=LE1203501138_1218304264&mall_no=1&dp_infw_cd=CASec10200001,LE1203501138,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F03%2F50%2F11%2F38%2FDSCRP_LE1203501138,https://contents.lotteon.com/itemimage/_v170700/LE/12/03/50/11/38/_1/21/83/04/26/4/LE1203501138_1218304264_1.jpg/dims/resizemc/360x360,폴햄,남성용 슬림핏 코튼 스판 치노팬츠 (PHA1PP1012),"15,130원"
https://www.lotteon.com/p/product/LO1344368843?sitmNo=LO1344368843_1344368844&mall_no=1&dp_infw_cd=CASec10200001,LO1344368843,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F44%2F36%2F88%2F43%2FDSCRP_LO1344368843,https://contents.lotteon.com/itemimage/LO/13/44/36/88/43/_1/34/43/68/84/4/LO1344368843_1344368844_1.jpg/dims/resizemc/360x360,타미힐피거,라운드넥 코튼 니트,"43,110원"
https://www.lotteon.com/p/product/LE1205490727?sitmNo=LE1205490727_1230073836&mall_no=1&dp_infw_cd=CASec10200001,LE1205490727,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F49%2F07%2F27%2FDSCRP_LE1205490727,https://contents.lotteon.com/itemimage/_v021641/LE/12/05/49/07/27/_1/23/00/73/83/6/LE1205490727_1230073836_1.jpg/dims/resizemc/360x360,지오다노,남 테이퍼드 슬랙스 110511,"31,450원"
https://www.lotteon.com/p/product/LE1203348105?sitmNo=LE1203348105_1217505929&mall_no=1&dp_infw_cd=CASec10200001,LE1203348105,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F03%2F34%2F81%2F05%2FDSCRP_LE1203348105,https://contents.lotteon.com/itemimage/_v015428/LE/12/03/34/81/05/_1/21/75/05/92/9/LE1203348105_1217505929_1.jpg/dims/resizemc/360x360,지오다노,남 크루넥 티셔츠 020501,"7,700원"
