상세보기 페이지 URL,상품 ID,상세보기 innerHtml URL, 썸네일 URL,브랜드명,상품명,가격
https://www.lotteon.com/p/product/LE1203348105?sitmNo=LE1203348105_1217505941&mall_no=1&dp_infw_cd=CASec10200001,LE1203348105,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F03%2F34%2F81%2F05%2FDSCRP_LE1203348105,https://contents.lotteon.com/itemimage/_v005925/LE/12/03/34/81/05/_1/21/75/05/94/1/LE1203348105_1217505941_1.jpg/dims/resizemc/360x360,지오다노,남 크루넥 티셔츠 020501,"7,700원"
https://www.lotteon.com/p/product/LE1205490727?sitmNo=LE1205490727_1230073836&mall_no=1&dp_infw_cd=CASec10200001,LE1205490727,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F49%2F07%2F27%2FDSCRP_LE1205490727,https://contents.lotteon.com/itemimage/_v021641/LE/12/05/49/07/27/_1/23/00/73/83/6/LE1205490727_1230073836_1.jpg/dims/resizemc/360x360,지오다노,남 테이퍼드 슬랙스 110511,"31,450원"
https://www.lotteon.com/p/product/LE1203490655?sitmNo=LE1203490655_1218252351&mall_no=1&dp_infw_cd=CASec10200001,LE1203490655,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F03%2F49%2F06%2F55%2FDSCRP_LE1203490655,https://contents.lotteon.com/itemimage/_v014553/LE/12/03/49/06/55/_1/21/82/52/35/1/LE1203490655_1218252351_1.jpg/dims/resizemc/360x360,폴햄,공용_사계절 긴팔 라운드 티셔츠(PHA5TR3930),"7,530원"
https://www.lotteon.com/p/product/LE1205414317?sitmNo=LE1205414317_1229626270&mall_no=1&dp_infw_cd=CASec10200001,LE1205414317,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F41%2F43%2F17%2FDSCRP_LE1205414317,https://contents.lotteon.com/itemimage/_v015611/LE/12/05/41/43/17/_1/22/96/26/27/0/LE1205414317_1229626270_1.jpg/dims/resizemc/360x360,올젠,하이넥 패딩 코트ZPA3CP1501,"60,800원"
https://www.lotteon.com/p/product/LO1344368843?sitmNo=LO1344368843_1344368844&mall_no=1&dp_infw_cd=CASec10200001,LO1344368843,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F44%2F36%2F88%2F43%2FDSCRP_LO1344368843,https://contents.lotteon.com/itemimage/LO/13/44/36/88/43/_1/34/43/68/84/4/LO1344368843_1344368844_1.jpg/dims/resizemc/360x360,타미힐피거,[온세상쿠폰]라운드넥 코튼 니트,"44,990원"
https://www.lotteon.com/p/product/LO1319926916?sitmNo=LO1319926916_1319926918&mall_no=1&dp_infw_cd=CASec10200001,LO1319926916,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLO%2F13%2F19%2F92%2F69%2F16%2FDSCRP_LO1319926916,https://contents.lotteon.com/itemimage/LO/13/19/92/69/16/_1/31/99/26/91/8/LO1319926916_1319926918_1.jpg/dims/resizemc/360x360,타미힐피거,[온세상쿠폰]남녀공용 스몰로고 베이직 맨투맨,"35,190원"
https://www.lotteon.com/p/product/LE1204487222?sitmNo=LE1204487222_1224219716&mall_no=1&dp_infw_cd=CASec10200001,LE1204487222,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F04%2F48%2F72%2F22%2FDSCRP_LE1204487222,https://contents.lotteon.com/itemimage/_v100601/LE/12/04/48/72/22/_1/22/42/19/71/6/LE1204487222_1224219716_1.jpg/dims/resizemc/360x360,레노마,2020  F/W 긴소매 가을 데일리셔츠 슬림&일반핏 32종,"26,600원"
https://www.lotteon.com/p/product/PD4486858?mall_no=1&dp_infw_cd=CASec10200001,LE1205392617,http://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F39%2F26%2F17%2FDSCRP_LE1205392617,https://contents.lotteon.com/itemimage/_v065151/LE/12/05/39/26/17/_1/22/94/98/77/8/LE1205392617_1229498778_1.jpg/dims/resizemc/360x360,올젠,우븐카라 티셔츠 ZOZ4TT1303-YS,"30,030원"
https://www.lotteon.com/p/product/LE1203975515?sitmNo=LE1203975515_1221056374&mall_no=1&dp_infw_cd=CASec10200001,LE1203975515,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F03%2F97%2F55%2F15%2FDSCRP_LE1203975515,https://contents.lotteon.com/itemimage/_v040637/LE/12/03/97/55/15/_1/22/10/56/37/4/LE1203975515_1221056374_1.jpg/dims/resizemc/360x360,카운테스마라,20년가을(일반핏/슬림핏)구김없는 모달&스판소재 신상드레스셔츠15종,"29,640원"
https://www.lotteon.com/p/product/LE1205609903?sitmNo=LE1205609903_1230743731&mall_no=1&dp_infw_cd=CASec10200001,LE1205609903,https://red.lotteon.com/goodsdetail?view=type1-raw&model=itemdetail%2FLE%2F12%2F05%2F60%2F99%2F03%2FDSCRP_LE1205609903,https://contents.lotteon.com/itemimage/LE/12/05/60/99/03/_1/23/07/43/73/1/LE1205609903_1230743731_1.jpg/dims/resizemc/360x360,지오다노,남 크루넥 긴팔 면티 020501,"7,500원"
